-31,43,8
-46,55,23
-62,36,7
-56,39,-5
-56,42,2
-61,35,-18
-55,38,-14
-48,41,4
-57,40,6
-37,42,-1
-48,43,-2
-56,39,-3
-46,46,11
-48,39,-9
-47,43,0
-35,44,13
-57,46,9
-42,45,10
-44,41,0
-50,44,8
-51,39,-7
-50,38,-1
-46,41,1
-49,41,-2
-47,43,4
-52,42,-1
-50,44,-2
-46,42,-6
-38,-53,21
-69,99,-4
-54,43,-15
-47,29,-7
-50,47,13
-54,39,2
-53,37,0
-47,25,18
-31,24,-20
-43,49,-5
-50,44,-1
-51,22,-6
-38,32,0
-42,28,3
-51,82,18
-38,127,27
-44,35,28
-47,40,2
-34,59,11
-41,47,17
-41,50,10
-35,51,17
-39,51,15
-35,48,20
-40,52,13
-37,50,12
-38,49,11
-39,54,20
-41,52,15
-33,49,24
-17,59,32
-28,53,14
-37,50,14
-50,53,14
-50,46,2
-50,41,5
-19,19,16
-41,23,14
-41,35,20
-49,47,-8
-15,57,47
-25,53,53
-45,60,15
-28,55,22
-32,50,16
-30,55,30
-35,62,22
-30,52,25
-41,55,17
-37,57,18
-42,55,25
-53,51,25
-42,49,26
-48,46,33
-48,44,36
-38,39,26
-49,36,23
-51,35,24
-56,29,17
-60,32,21
-61,25,31
-60,18,39
-66,17,44
-59,11,48
-57,8,55
-56,0,63
-57,-10,39
-68,-11,22
-58,-9,29
-52,-14,34
-37,-20,33
-37,-24,29
-28,-26,30
-23,-30,31
-17,-31,37
-6,-30,37
-20,-29,36
-22,-15,51
-26,-13,46
-35,-11,43
-28,-14,43
-25,-11,39
-25,-3,47
-34,7,49
-26,5,54
-29,4,44
-26,9,40
-18,9,40
-21,6,30
-28,-2,22
-17,-12,52
-19,-17,54
-28,-32,60
-23,-40,62
-43,-45,47
-36,-24,90
-26,-12,91
17,5,83
-5,24,78
-29,22,82
-15,30,79
-24,28,69
5,12,61
5,13,53
5,21,60
12,25,67
10,24,64
18,21,60
15,21,61
9,23,67
7,23,64
7,21,61
12,18,60
11,19,58
12,20,58
10,21,59
11,21,63
12,20,58
12,20,58
10,20,59
11,20,61
9,20,60
10,20,59
11,21,60
9,22,60
10,21,59
11,19,56
11,20,62
8,20,64
7,21,62
13,19,57
10,19,57
16,19,57
20,19,57
19,22,59
27,20,63
-19,24,53
17,14,68
30,10,68
67,9,60
28,19,42
-128,62,35
9,20,89
-21,31,65
-10,19,56
-13,22,57
7,18,56
2,17,58
-12,22,64
-4,16,58
-6,20,66
-10,11,74
-12,5,74
-5,6,59
8,29,52
-80,-23,127
-22,-12,80
54,48,16
22,79,-20
-51,72,20
-22,34,99
6,17,44
-7,29,54
-6,41,42
0,46,50
32,12,39
1,26,64
-41,27,76
6,13,73
5,15,70
-4,26,68
-5,20,57
-5,18,54
6,25,67
-5,26,70
-6,16,59
0,19,61
5,16,60
11,15,59
5,14,57
13,16,62
18,17,62
11,21,67
8,24,80
9,23,82
4,21,87
-3,16,83
-7,14,85
-11,7,79
-16,1,69
-29,-13,58
-30,-18,55
-32,-27,41
-31,-31,36
-30,-34,33
-15,-35,30
-10,-36,30
-9,-34,27
-5,-24,35
-6,-24,36
-5,-21,46
-3,-22,51
-20,-17,41
-21,-12,49
-7,-14,61
-20,-16,68
-35,-14,73
-11,-32,58
-23,-28,57
-22,-27,56
-18,-29,58
-19,-29,57
-18,-30,56
-21,-27,55
-21,-26,54
-17,-26,57
-16,-28,57
-18,-27,56
-18,-26,57
-15,-26,55
-12,-27,56
-14,-24,56
-11,-23,56
-11,-25,58
-9,-23,58
-12,-22,56
-9,-23,55
-8,-23,57
-8,-21,57
-10,-23,56
-13,-26,56
-12,-26,59
-13,-25,59
-11,-27,58
-9,-26,59
-10,-24,58
-10,-25,57
-10,-25,58
-12,-24,58
-12,-24,58
-9,-26,59
-11,-26,58
-11,-25,59
-10,-25,57
-9,-26,59
-11,-23,58
-10,-23,58
-8,-24,57
-9,-23,58
-10,-23,58
-8,-22,57
